公司代码_CompanyCode,最新股票名称_Lstknm,日期_Date,月无风险收益率_Monrfret
3,平安银行,2010-01-29,0.001553
3,平安银行,2010-02-26,0.001604
3,平安银行,2010-03-31,0.001619
3,平安银行,2010-04-30,0.001616
3,平安银行,2010-05-31,0.001646
3,平安银行,2010-06-30,0.002004
3,平安银行,2010-07-30,0.002134
3,平安银行,2010-08-31,0.002055
3,平安银行,2010-09-30,0.00213
3,平安银行,2010-10-29,0.002246
3,平安银行,2010-11-30,0.002446
3,平安银行,2010-12-31,0.00323
3,平安银行,2011-01-31,0.00393
3,平安银行,2011-02-28,0.00432
3,平安银行,2011-03-31,0.003581
3,平安银行,2011-04-29,0.003592
3,平安银行,2011-05-31,0.003795
3,平安银行,2011-06-30,0.004514
3,平安银行,2011-07-29,0.005108
3,平安银行,2011-08-31,0.004642
3,平安银行,2011-09-30,0.004687
3,平安银行,2011-10-31,0.0047
3,平安银行,2011-11-30,0.004731
3,平安银行,2011-12-30,0.004565
3,平安银行,2012-01-31,0.004565
3,平安银行,2012-02-29,0.004446
3,平安银行,2012-03-30,0.004208
3,平安银行,2012-04-27,0.004006
3,平安银行,2012-05-31,0.003739
3,平安银行,2012-06-29,0.003415
3,平安银行,2012-07-31,0.003225
3,平安银行,2012-08-31,0.003031
3,平安银行,2012-09-28,0.003047
3,平安银行,2012-10-31,0.003083
3,平安银行,2012-11-30,0.00314
3,平安银行,2012-12-31,0.00322
3,平安银行,2013-01-31,0.003246
3,平安银行,2013-02-28,0.00324
3,平安银行,2013-03-29,0.003236
3,平安银行,2013-04-26,0.003235
3,平安银行,2013-05-31,0.003235
3,平安银行,2013-06-28,0.004241
3,平安银行,2013-07-31,0.003972
3,平安银行,2013-08-30,0.00388
3,平安银行,2013-09-30,0.003884
3,平安银行,2013-10-31,0.003897
3,平安银行,2013-11-29,0.00392
3,平安银行,2013-12-31,0.004417
3,平安银行,2014-01-30,0.004654
3,平安银行,2014-02-28,0.004657
3,平安银行,2014-03-31,0.004587
3,平安银行,2014-04-30,0.004582
3,平安银行,2014-05-30,0.004369
3,平安银行,2014-06-30,0.003998
3,平安银行,2014-07-31,0.003955
3,平安银行,2014-08-29,0.003905
3,平安银行,2014-09-30,0.003849
3,平安银行,2014-10-31,0.003758
3,平安银行,2014-11-28,0.003559
3,平安银行,2014-12-31,0.003884
3,平安银行,2015-01-30,0.004126
3,平安银行,2015-02-27,0.004087
3,平安银行,2015-03-31,0.004083
3,平安银行,2015-04-30,0.003838
3,平安银行,2015-05-29,0.002815
3,平安银行,2015-06-30,0.002524
3,平安银行,2015-07-31,0.002644
3,平安银行,2015-08-31,0.002592
3,平安银行,2015-09-30,0.002602
3,平安银行,2015-10-30,0.002618
3,平安银行,2015-11-30,0.002534
3,平安银行,2015-12-31,0.002549
3,平安银行,2016-01-29,0.002544
3,平安银行,2016-02-29,0.002504
3,平安银行,2016-03-31,0.002341
3,平安银行,2016-04-29,0.002381
3,平安银行,2016-05-31,0.00243
3,平安银行,2016-06-30,0.002461
3,平安银行,2016-07-29,0.002413
3,平安银行,2016-08-31,0.002338
3,平安银行,2016-09-30,0.002327
3,平安银行,2016-10-31,0.002339
3,平安银行,2016-11-30,0.002433
3,平安银行,2016-12-30,0.002643
3,平安银行,2017-01-26,0.003047
3,平安银行,2017-02-28,0.003466
3,平安银行,2017-03-31,0.003623
3,平安银行,2017-04-28,0.003579
3,平安银行,2017-05-31,0.003699
3,平安银行,2017-06-30,0.003895
3,平安银行,2017-07-31,0.003596
3,平安银行,2017-08-31,0.003602
3,平安银行,2017-09-29,0.00365
3,平安银行,2017-10-31,0.003641
3,平安银行,2017-11-30,0.003798
3,平安银行,2017-12-29,0.00403
3,平安银行,2018-01-31,0.003924
3,平安银行,2018-02-28,0.003924
3,平安银行,2018-03-30,0.003899
3,平安银行,2018-04-27,0.003464
3,平安银行,2018-05-31,0.003425
3,平安银行,2018-06-29,0.003597
3,平安银行,2018-07-31,0.003002
3,平安银行,2018-08-31,0.002402
3,平安银行,2018-09-28,0.002368
3,平安银行,2018-10-31,0.002386
3,平安银行,2018-11-30,0.002526
3,平安银行,2018-12-28,0.002664
3,平安银行,2019-01-31,0.002511
3,平安银行,2019-02-28,0.002357
3,平安银行,2019-03-29,0.002325
3,平安银行,2019-04-30,0.002339
3,平安银行,2019-05-31,0.002423
3,平安银行,2019-06-28,0.002404
3,平安银行,2019-07-31,0.002185
3,平安银行,2019-08-30,0.002218
3,平安银行,2019-09-30,0.002261
3,平安银行,2019-10-31,0.002304
3,平安银行,2019-11-29,0.00249
3,平安银行,2019-12-31,0.002524
3,平安银行,2020-01-23,0.002403
3,平安银行,2020-02-28,0.002178
3,平安银行,2020-03-31,0.001796
3,平安银行,2020-04-30,0.001279
3,平安银行,2020-05-29,0.001172
3,平安银行,2020-06-30,0.001589
3,平安银行,2020-07-31,0.001932
3,平安银行,2020-08-31,0.002171
3,平安银行,2020-09-30,0.002231
3,平安银行,2020-10-30,0.002332
3,平安银行,2020-11-30,0.002524
3,平安银行,2020-12-31,0.002439
3,平安银行,2021-01-29,0.002205
3,平安银行,2021-02-26,0.002342
3,平安银行,2021-03-31,0.002261
3,平安银行,2021-04-30,0.002173
3,平安银行,2021-05-31,0.002102
3,平安银行,2021-06-30,0.00204
3,平安银行,2021-07-30,0.002015
3,平安银行,2021-08-31,0.001969
3,平安银行,2021-09-30,0.00198
3,平安银行,2021-10-29,0.002027
3,平安银行,2021-11-30,0.002055
3,平安银行,2021-12-31,0.002079
