交易时股票代码_Stkcdotrd,日期_Date,月收益率_Monret
600618,2002/1/31,-0.0969
600618,2002/2/28,-0.0199
600618,2002/3/29,0.077
600618,2002/4/30,0.0821
600618,2002/5/31,-0.1093
600618,2002/6/28,0.0648
600618,2002/7/31,0.0367
600618,2002/8/30,0.0085
600618,2002/9/27,-0.04
600618,2002/10/31,-0.0468
600618,2002/11/29,-0.0966
600618,2002/12/31,-0.0832
600618,2003/1/29,0.0889
600618,2003/2/28,0.017
600618,2003/3/31,0.0192
600618,2003/4/30,-0.1083
600618,2003/5/30,0.0515
600618,2003/6/30,-0.0315
600618,2003/7/31,-0.0831
600618,2003/8/29,-0.0522
600618,2003/9/30,-0.0707
600618,2003/10/31,-0.1253
600618,2003/11/28,0.0384
600618,2003/12/31,-0.0086
600618,2004/1/30,0.072
600618,2004/2/27,0.1611
600618,2004/3/31,0.001
600618,2004/4/30,-0.1147
600618,2004/5/31,-0.0383
600618,2004/6/30,-0.1511
600618,2004/7/30,-0.0276
600618,2004/8/31,0.2199
600618,2004/9/30,-0.0326
600618,2004/10/29,-0.0769
600618,2004/11/30,0.0182
600618,2004/12/31,-0.0575
600618,2005/1/31,-0.0122
600618,2005/2/28,-0.0824
600618,2005/3/31,-0.1168
600618,2005/4/29,-0.222
600618,2005/5/31,-0.0283
600618,2005/6/30,-0.0135
600618,2005/7/29,-0.2
600618,2005/8/31,0.8778
600618,2005/9/30,-0.0348
600618,2005/10/31,-0.1144
600618,2005/11/30,0.0053
600618,2005/12/5,-0.0986
600618,2006/1/25,-0.1074
600618,2006/2/28,0.0656
600618,2006/3/31,-0.0205
600618,2006/4/28,0.0294
600618,2006/5/31,0.1079
600618,2006/6/30,-0.0221
600618,2006/7/31,-0.0508
600618,2006/8/31,-0.004
600618,2006/9/29,0.0119
600618,2006/10/31,-0.0275
600618,2006/11/30,-0.0323
600618,2006/12/29,-0.0605
600618,2007/1/31,0.2222
600618,2007/2/28,0.1473
600618,2007/3/30,0.141
600618,2007/4/30,0.4014
600618,2007/5/31,0.0208
600618,2007/6/29,-0.4184
600618,2007/7/31,0.3072
600618,2007/8/31,0.0217
600618,2007/9/28,0.0475
600618,2007/10/31,-0.2088
600618,2007/11/30,0.0588
600618,2007/12/28,0.1011
600618,2008/1/31,0.0129
600618,2008/2/29,0.166
600618,2008/3/31,-0.207
600618,2008/4/30,-0.1174
600618,2008/5/30,0
600618,2008/6/30,-0.2363
600618,2008/7/31,0.1701
600618,2008/8/29,-0.2067
600618,2008/9/26,-0.0309
600618,2008/10/31,-0.3485
600618,2008/11/28,0.1748
600618,2008/12/31,-0.0655
600618,2009/1/23,0.1051
600618,2009/2/27,0.3256
600618,2009/3/31,0.1065
600618,2009/4/30,0.1415
600618,2009/5/27,0.0026
600618,2009/6/30,0.0275
600618,2009/7/31,0.0569
600618,2009/8/31,-0.0301
600618,2009/9/30,0.3051
600618,2009/10/30,0.0662
600618,2009/11/30,0.0469
600618,2009/12/30,-0.0325
600618,2010/1/29,-0.1111
600618,2010/2/26,0.0313
600618,2010/3/31,0.0518
600618,2010/4/30,-0.114
600618,2010/5/31,-0.1382
600618,2010/6/30,-0.0708
600618,2010/7/30,0.2369
600618,2010/8/31,0.0109
600618,2010/9/30,0.0149
600618,2010/10/28,0.1373
600618,2010/11/30,0.027
600618,2010/12/31,-0.0731
600618,2011/1/31,-0.0776
600618,2011/2/28,0.1469
600618,2011/3/31,0.0105
600618,2011/4/29,0.4885
600618,2011/5/31,0.3909
600618,2011/6/30,-0.108
600618,2011/7/29,-0.0536
600618,2011/8/31,-0.1134
600618,2011/9/30,-0.11
600618,2011/10/31,0.071
600618,2011/11/30,-0.0889
600618,2011/12/30,-0.2697
600618,2012/1/31,0.0692
600618,2012/2/29,0.1732
600618,2012/3/30,-0.1299
600618,2012/4/27,0.0741
600618,2012/5/31,0.096
600618,2012/6/29,-0.1788
600618,2012/7/31,-0.1322
600618,2012/8/31,0.0294
600618,2012/9/28,0.097
600618,2012/10/31,-0.0181
600618,2012/11/30,-0.1536
600618,2012/12/31,0.1105
600618,2013/1/31,0.0504
600618,2013/2/28,0.0292
600618,2013/3/29,-0.1273
600618,2013/4/26,-0.0286
600618,2013/5/31,0.0643
600618,2013/6/28,-0.2506
600618,2013/7/31,0.0185
600618,2013/8/30,0.2112
600618,2013/9/30,-0.0259
600618,2013/10/31,-0.0462
600618,2013/11/29,-0.0029
600618,2013/12/31,-0.0162
600618,2014/1/30,-0.0897
600618,2014/2/28,0.0985
600618,2014/3/31,0.0164
600618,2014/4/30,0.075
600618,2014/5/30,0.0944
600618,2014/6/30,-0.0706
600618,2014/7/31,0.1521
600618,2014/8/29,-0.0082
600618,2014/9/30,0.0436
600618,2014/10/31,-0.0226
600618,2014/11/28,0.0162
600618,2014/12/31,0.1307
600618,2015/1/30,-0.0402
600618,2015/2/27,0.133
600618,2015/3/31,0.0869
600618,2015/4/30,0.2602
600618,2015/5/29,-0.0439
600618,2015/6/30,-0.0416
600618,2015/7/31,-0.1038
600618,2015/8/31,-0.1553
600618,2015/9/30,0.1265
600618,2015/10/30,0.1995
600618,2015/11/30,-0.1353
600618,2015/12/31,0.3439
600618,2016/1/29,-0.1716
600618,2016/2/29,-0.1152
600618,2016/3/31,0.2088
600618,2016/4/29,0.093
600618,2016/5/31,-0.1216
600618,2016/6/30,-0.0437
600618,2016/7/29,0.0845
600618,2016/8/31,-0.0302
600618,2016/9/30,-0.0485
600618,2016/10/31,0.0289
600618,2016/11/30,0.0148
600618,2016/12/30,0.0634
600618,2017/1/26,-0.0994
600618,2017/2/28,0.0152
600618,2017/3/31,-0.0855
600618,2017/4/28,-0.1369
600618,2017/5/31,-0.1092
600618,2017/6/30,0.1386
600618,2017/7/31,0.2135
600618,2017/8/31,-0.054
600618,2017/9/29,-0.0334
600618,2017/10/31,0.0751
600618,2017/11/30,-0.0911
600618,2017/12/29,-0.0648
600618,2018/1/31,0.0286
600618,2018/2/28,-0.0135
600618,2018/3/30,-0.0373
600618,2018/4/27,-0.1134
600618,2018/5/31,-0.0021
600618,2018/6/29,-0.0871
600618,2018/7/31,-0.0188
600618,2018/8/31,-0.1162
600618,2018/9/28,-0.0054
600618,2018/10/31,-0.1131
600618,2018/11/30,0.0461
600618,2018/12/28,-0.047
600618,2019/1/31,0.0139
600618,2019/2/28,0.1763
600618,2019/3/29,0.1408
600618,2019/4/30,0.0487
600618,2019/5/31,-0.1102
600618,2019/6/28,-0.0461
600618,2019/7/31,0.07
600618,2019/8/30,-0.0929
600618,2019/9/30,0.008
600618,2019/10/31,-0.0449
600618,2019/11/29,-0.0483
600618,2019/12/31,0.0726
600618,2020/1/23,0.0528
600618,2020/2/28,0.0925
600618,2020/3/31,-0.1529
600618,2020/4/30,0.0028
600618,2020/5/29,-0.0069
600618,2020/6/30,-0.0098
600618,2020/7/31,0.238
600618,2020/8/31,-0.0806
600618,2020/9/30,-0.0901
600618,2020/10/30,-0.0179
600618,2020/11/30,0.0994
600618,2020/12/31,-0.0688
600618,2021/1/29,-0.052
600618,2021/2/26,0.1631
600618,2021/3/31,-0.0335
600618,2021/4/30,0.0488
600618,2021/5/31,0.1102
600618,2021/6/30,0.0088
600618,2021/7/30,0.0311
600618,2021/8/31,0.21
600618,2021/9/30,0.3313
600618,2021/10/29,0.0344
600618,2021/11/30,-0.1907
600618,2021/12/31,-0.019
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
